ID;nacimiento;ingresos;hijos;antiguedad;ultima_compra;queja;monto;num_desc;num_web;num_cat;num_local;num_vis;respuesta
5524;1957;145345;0;28;58;0;242550;3;8;10;4;7;0
2174;1954;115860;2;10;38;0;4050;2;1;1;2;5;0
4141;1965;179033;0;17;26;0;116400;1;8;2;10;4;0
6182;1984;66615;1;11;26;0;7950;2;2;0;4;6;0
5324;1981;145733;1;12;94;0;63300;5;5;3;6;5;1
7446;1967;156283;1;16;16;0;107400;2;6;4;10;6;0
965;1971;139088;1;26;34;0;88500;4;7;3;7;6;1
6177;1985;83635;1;20;32;0;25350;2;4;0;4;8;1
4855;1974;75878;1;19;19;0;6900;1;3;0;2;9;0
5899;1950;24120;2;10;68;0;7350;1;1;0;0;14;0
1994;1983;;1;14;11;0;2850;1;1;0;2;7;0
387;1976;28750;0;26;59;0;9150;1;2;0;3;8;0
2125;1959;157583;0;14;82;0;165300;1;3;4;8;2;0
8180;1952;148385;2;14;53;0;46500;3;6;1;5;6;0
2569;1987;43308;0;27;38;0;6900;1;1;0;3;8;0
2114;1946;207000;0;26;23;0;197250;1;7;6;12;3;0
9736;1980;104625;2;25;51;0;14400;3;3;0;3;8;0
4939;1946;94400;0;28;20;0;47550;2;4;1;6;7;0
6565;1949;192488;1;21;91;0;267300;2;11;4;9;5;0
2278;1985;84530;1;26;86;0;19950;2;2;1;3;6;0
9360;1982;92600;0;29;41;0;47400;1;4;2;5;8;0
5376;1979;61180;1;24;42;0;259500;12;0;12;0;1;0
1993;1949;146518;1;25;63;0;145800;3;2;3;9;8;0
4047;1954;163310;1;12;0;0;81600;3;6;2;9;4;0
1409;1951;101723;1;22;69;0;66600;7;7;1;5;8;1
7892;1969;46473;0;24;89;0;11250;2;2;1;3;7;0
2404;1976;133398;2;19;4;0;38550;4;5;1;4;7;0
5255;1986;;1;23;19;0;95550;0;12;0;0;1;0
9422;1989;95900;1;19;26;0;19650;2;2;1;4;3;0
1966;1965;211545;0;13;96;0;250800;1;6;9;10;2;0
6864;1989;27448;0;7;34;0;4500;2;3;0;3;5;0
3033;1963;96550;0;20;56;0;47700;1;2;5;3;3;0
5710;1970;101370;1;27;31;0;18000;2;2;1;4;5;0
7373;1952;116525;2;26;8;0;45300;6;4;1;6;6;1
8755;1946;171643;0;23;4;0;179400;1;3;5;9;7;0
10738;1951;123473;2;16;55;0;9750;1;2;0;3;7;0
4339;1970;168383;1;12;37;0;136950;5;5;6;12;2;1
10755;1976;59295;1;16;76;0;12150;3;3;1;2;7;0
8595;1973;106073;1;11;99;0;10050;2;1;1;3;5;0
2968;1943;122370;0;23;53;0;135300;2;7;10;5;6;0
8601;1980;200028;1;20;3;0;209250;2;8;6;5;4;0
503;1985;51398;1;22;88;0;7950;2;2;0;3;8;0
8430;1957;54985;1;25;4;0;3300;1;0;0;3;5;0
7281;1959;;0;14;80;0;27900;1;1;3;4;2;0
2139;1975;28750;1;15;19;0;4650;3;2;0;3;5;0
1371;1976;199853;0;6;72;0;147600;1;2;4;9;1;0
9909;1996;28750;0;26;24;0;18300;3;3;1;3;9;0
7286;1968;104320;1;20;92;0;8250;1;2;0;2;10;0
7244;1951;;3;12;96;0;18600;3;2;1;4;6;0
6566;1954;181375;2;26;39;0;197850;9;5;2;12;8;1
8614;1957;163715;1;8;29;0;76050;1;4;2;10;2;0
4114;1964;197858;0;29;2;0;253950;1;6;9;13;3;0
1331;1977;89475;1;24;54;0;10800;2;2;0;3;7;1
2225;1977;206455;0;7;54;0;242550;1;4;9;7;1;0
9381;1978;165933;2;19;57;0;90900;7;4;2;10;3;1
6260;1955;205960;0;26;55;0;293550;1;3;10;13;1;0
10383;1966;175718;0;21;30;0;163950;1;5;5;10;3;0
7437;1988;69845;1;8;31;0;4350;1;1;0;4;3;0
8557;1982;;1;19;57;0;6900;2;2;0;3;6;0
8375;1968;139885;1;10;63;0;77700;3;8;2;6;7;0
6853;1982;189443;0;18;12;0;215700;1;3;6;11;1;0
3076;1975;166633;2;28;18;0;91800;4;4;2;12;3;1
1012;1952;154558;1;23;26;0;132600;4;8;2;10;7;1
6518;1951;169200;1;19;8;0;90900;1;7;3;8;5;0
4137;1948;176665;0;13;29;0;161400;1;7;4;4;4;0
8082;1971;64303;1;20;75;0;5100;1;1;1;2;7;0
1386;1967;81185;2;8;0;0;1650;1;1;0;2;7;0
9369;1979;220485;1;10;19;0;191100;1;11;10;10;5;0
4477;1958;172740;1;15;4;0;97950;1;5;2;10;4;0
1357;1970;187135;3;21;90;0;234300;7;2;5;5;5;1
1402;1954;167478;0;28;1;0;187950;3;4;8;6;3;0
10629;1973;;1;28;25;0;16350;3;3;0;3;8;0
6312;1959;162578;1;22;29;0;129450;4;10;3;13;7;1
8132;1975;151578;2;21;88;0;99150;5;9;2;8;7;1
1050;1952;70830;0;8;58;0;9750;1;2;1;4;2;0
5846;1977;100615;1;25;68;0;1950;1;1;0;2;6;0
1859;1972;188128;0;29;34;0;283500;1;7;6;5;5;0
7503;1976;189563;0;27;40;0;331350;0;5;8;9;4;1
10401;1976;65815;0;16;12;1;2700;1;0;0;3;3;0
